cuando|etapa|decision|por_que|evidencia|resultado
2026-09-05T06:31:00Z|Diseno|CLI profundo tools/saikit-ci-minimo.sh --ofrecer; setup solo parsea --ci-minimo e invoca despues del JSON, antes de listo; spy SAIKIT_CI_MINIMO|DoD exige INVOCA medible; setup no detecta workflows (critic); un archivo, merge intacto; disco es la unica fuente de hay CI|SYNTHESIS.md candidate-1; caso setup_invoca_generador|ok
2026-09-05T06:31:00Z|Diseno|disco x voluntad en case simple; no se serializa Oferta como key=value|ORM de oferta era descomposicion temporal (critic #4); dos ejes bastan para ESCRIBIR / AVISAR_NO_MERGEA / NOOP|SYNTHESIS graft 2; case de voluntad en ofrecer|ok
2026-09-05T06:31:00Z|Diseno|PRESENTE = find .github/workflows \( -name '*.yml' -o -name '*.yaml' \); nunca brace glob|bash brace glob no es portable y miente si el dir no existe|SYNTHESIS graft 1; caso presente_no_pisa|ok
2026-09-05T06:31:00Z|Diseno|deteccion honesta: tests/run.sh → bash tests/run.sh; si no, package.json con runner real → npm test; si no, pytest en pyproject/requirements/pytest.ini → python -m pytest; fallback bash tests/run.sh. NUNCA npm test --if-present| --if-present deja verde vacio; pytest desnudo no esta en PATH garantizado|SYNTHESIS graft 3; afirma_run_reales|ok
2026-09-05T06:31:00Z|Diseno|verify es un run: de una linea; pins solo actions/checkout@11bd71901bbe5b1630ceea73d27597364c9af683; yaml_seguro rechaza secrets. y uses que no sean @40hex|DoD pin embebido sin red; comentario-only no cuenta; un solo uses reduce superficie|SYNTHESIS grafts 4-5; casos run_reales / uses_son_sha_40 / sin_secrets + mutaciones|ok
2026-09-05T06:31:00Z|Diseno|sin TTY y sin flag = DEFAULT_NO; avisa que sin CI el autopilot no mergea; no se pregunta runner|never-block-on-the-human; ubuntu-latest ya trae node/python|caso default_no_sin_tty|ok
2026-09-05T06:31:00Z|Decision|no se agrega ci_scaffold al JSON; hay CI = archivo en disco|schema churn; merge no lo lee; print basta (c4 rechazado)|caso merge_sin_checks_tras_declinar; grep ci_scaffold|ok
2026-09-05T06:31:00Z|Decision|cuerpo de saikit-merge.sh intacto; cobertura nueva = c_sin_checks + mutacion sin_checks_n_opcional|el veto n>0 ya es el producto; el hueco era de la tabla de mutaciones|test_saikit_merge.sh MUTS; SYNTHESIS graft 7|ok
2026-09-05T06:31:00Z|Atencion|workflow vacio o solo-comentarios cuenta PRESENTE (D22 = hay archivo); el primer push sin test detectado usa fallback bash tests/run.sh (rojo honesto, no echo verde)|lead cerro ausencia = no hay archivos; verde vacio es peor que rojo al primer push|SYNTHESIS open questions|declarado
2026-09-05T06:40:00Z|Fix|el run: de verify va entre comillas dobles en el YAML|echo saikit: verify/ ausente tiene un colon; sin citar, Psych/check-yaml lee un mapping y rechaza el archivo|rojo medido: ruby Psych::SyntaxError column 95; verde: yaml_parsea en acepta_escribe_workflow|ok
2026-09-05T06:50:00Z|Fix|afirma_run_reales exige linea exacta de test + invocacion verify/; VERIFY_CMD invoca npm/pytest/find sobre verify/; mutacion DEFAULT_NO cableada; run: true # cmd atrapado; secrets. secrets[ secrets: inherit|interrogate grok: verify echo verde, comentario inline, DEFAULT_NO muerto, npm substring en verify|rojo medido run_solo_en_comentario sobrevivia; verde tras exact match|ok
